,track_name,artist_name,tweets
10,Light Switch,Charlie Puth,"[2022/04/11 10:45]
Light Switch / Charlie Puth
#FM802

●Radikoタイムフリーで聴く↓
https://t.co/hJxxQ2LsOq

●iTunesで試聴↓https://t.co/ZCHtTBjdIE It's party time. Now Light Switch (Tiesto Remix) - Charlie Puth on https://t.co/b97MPDulOx https://t.co/3jxEdVOFmB Light Switch - Charlie Puth https://t.co/7TMVN46pda 

날이 너무 좋다.. RT @sakutayxcp: An important thing to note: 
[FOR CHARLIE PUTH STANS]
We need to focus on light switch more than that’s hilarious because l… for the record, my last tweet was satire. i hate charlie puth. always have. you just want attention? bad song. lets marvin gaye and get it on? jee super original charlie. and dont even get me started on light switch. his mediocrity is unbeatable. no bc i love charlie puth. like hes such a lyrical genius. “you turn me on like a light switch” like hello??? thats such a good line. idk if you guys are just too young to understand how frikin awesome that line is but wow. charlie puth is just too good. @SparkPluggUwU Light switch by Charlie puth ""Light Switch"" - Charlie Puth┃Japanese Version (Cover) https://t.co/719OhYhcmH via @YouTube RT @AllAccessAsia1: SOTD is 'Light Switch' by Charlie Puth - covered by Jinho.  I'm so glad Magazine Ho is back, I love my monthly doses of… #NowPlaying sur @RadioRG30
➡ CHARLIE PUTH : Light switch"
11,3 Nights,Dominic Fike,"Dominic Fike - 3 Nights RT @fikeupdates: Dominic Fike performing “3 Nights” at UCONN via sydneysalomonn! https://t.co/PnA3508AIH Now playing Dominic Fike - 3 Nights by Dominic Fike! Listen https://t.co/wX7TIX2B1m Music recommendations:

Machine Gun Kelly - in these walls 
Lucky Daye - Over 
DeVita - Movies 
Palaye Royale - Paranoid 
Anees - Maybe 
Dominic Fike - 3 Nights 
Halsey - 3am 
Drake - Popstar 
NF - The Search 
NF - Just Like You
Tora - Too Much
Stephen - Crossfire [ 🧡 ]  Lah

•3 NIGHTS [Dominic Fike]
https://t.co/TDpWtg23nn

•BAD IDEA [Moonbin&amp;Sanha]
https://t.co/h22CY0rBwZ

•VIP *-* [Luisa Sonza]
https://t.co/wpcFLDo07g

•PRIMEIRA VEZ [Clau]
https://t.co/8eJPt7qfzQ

•APHRODITE [Rini]
https://t.co/t1r73kdhwd https://t.co/7nDJKRjs6i Now Playing Dominic Fike - 3 Nights #dominicfike Now playing on OnlyTunes: 3 Nights by Dominic Fike! Tune in now: https://t.co/QSc4YvXbpO もうどこかでDJやることなんて二度とないだろうけど、忘れないようにメモ

Dominic Fike - 3 Nights
Kid Cudi Vs Crookers - Day 'n' Nite
TLC - Silly Ho

BPM少しずつ下げて繋げてみたい
最後はダウナーに持っていきたい Dominic Fike - 3 Nights RT @fikeupdates: Dominic Fike performing “3 Nights” at UCONN via sydneysalomonn! https://t.co/PnA3508AIH"
12,Wave of You,Surfaces,"RT @PARTSOFJOY: @HughMally @Sillyshib @GeordieApe @JenImpertinent Either you're not flushing, causing a wave of germs to land on toothbrush… @HughMally @Sillyshib @GeordieApe @JenImpertinent Either you're not flushing, causing a wave of germs to land on toothbrushes/other surfaces, you close the lid to flush, wait for germs to settle and then lift it back up or you've developed a miraculous thing where you can shut the lid but not put the seat down? Which is it? [OnlyHitUS] #NowPlaying : Wave of You
 by Surfaces Listen on the website: https://t.co/Q2ZfUngJan Nu op ZTACK: Wave of You van Surfaces! 🎶
📻Tune in op https://t.co/XYjsqE6MaU! RT @NaseSilvestre19: Wave of You by Surfaces [ English JoshTin AU]

-Josh brought Justin with him for a vacation just for the both of them.…"
13,Fancy Like,Walker Hayes,"RT @rca_usaxxx: Got a little fancy over the weekend at the Walker Hayes concert. He’s extremely talented and a super nice humble guy. We ne… Walker Hayes - Fancy Like RT @TodaysCountryMa: TOMORROW NIGHT - 2022 @CMT AWARDS NOMINEES - Male Video of the Year: @walkerhayes  - ""Fancy Like"" - https://t.co/FzqC8… Walker Hayes - ""Fancy Like"" (Official Music Video)
https://t.co/rGw0z5BFBr TOMORROW NIGHT - 2022 @CMT AWARDS NOMINEES - Male Video of the Year: @walkerhayes  - ""Fancy Like"" - https://t.co/FzqC80EPk8 Now Playing: Walker Hayes - Fancy Like (Click Here To Listen) https://t.co/kcNQSyXRrW WALKER HAYES - FANCY LIKE https://t.co/5TJlTrKSZ6 Now Playing: Walker Hayes - Fancy Like (Remix) (Ft Kesha) (Click Here To Listen) https://t.co/kcNQSyXRrW Walker Hayes - Fancy Like My 2 year old@just asked to hear the Applebees song aka fancy like by Walker Hayes 😂#wilmingtonNC #MostRequestedLive"
14,Watermelon Sugar,Harry Styles,"RT @TheHSCharts: 🇨🇭 Harry Styles' history on the Singles Chart in Switzerland:

#1. 'As It Was'
#3. 'Watermelon Sugar'
#4. 'Sign of the Tim… RT @hstfetus: COMPRO UM DOIS INGRESSOS PRO SHOW DO HARRY STYLES EM SÃO PAULO 🆘 🆘 🆘 

- PISTA PREMIUM CHERRY OU WATERMELON SUGAR

palavras c… RT @TheHSCharts: 🇨🇭 Harry Styles' history on the Singles Chart in Switzerland:

#1. 'As It Was'
#3. 'Watermelon Sugar'
#4. 'Sign of the Tim… @DoveMaslowWW You rock! WATERMELON SUGAR by HARRY STYLES is playing next on Star 106.9! Listen &amp; Vote 4 More: https://t.co/mNqnBsuY1C Pwrd by @MatthewsBuickGM my favorite harry styles song is watermelon sugar high RT @statisticsHS: 📊| Harry Styles Top Songs Global Spotify — [01-07 abril]

“As It Was” — #1 (nueva)
“Watermelon Sugar” — #44 (+23)
“Adore… RT @TheHSCharts: 🇨🇭 Harry Styles' history on the Singles Chart in Switzerland:

#1. 'As It Was'
#3. 'Watermelon Sugar'
#4. 'Sign of the Tim… RT @statisticsHS: 📊| Harry Styles Top Songs Global Spotify — [01-07 abril]

“As It Was” — #1 (nueva)
“Watermelon Sugar” — #44 (+23)
“Adore… #TocandoAgora #NowPlaying on #RadioGaLeraS:  Harry Styles - Watermelon Sugar #ListenAt https://t.co/VIJiiTPNWa RT @statisticsHS: 📊| Harry Styles Top Songs Global Spotify — [01-07 abril]

“As It Was” — #1 (nueva)
“Watermelon Sugar” — #44 (+23)
“Adore…"
15,Lost,Maroon 5,"🔊 Ara sona | Maroon 5-Lost https://t.co/nvRzUaaeT5 Viciada estou por Lost do Maroon 5 

Eu já tinha ouvido ela algumas vezes mas MANO, QUE MÚSICA INCRÍVEL !!! Maroon 5 - Lost stars. 
Ini mah bkn nya jadi benci, tapi kayak agak sedih-sedih gimanaaaa gitu soalnya mantan yg jaman sma mah baik hati sekali jadi g banyak hal yg aku inget bisa dibenci. https://t.co/o9eUGGvIiT Maroon 5 - Lost Now Playing: Maroon 5 - Lost (Click Here To Listen) https://t.co/kcNQSyXRrW 🔊 Ara sona | Maroon 5-Lost https://t.co/nvRzUaaeT5 @Fayokunmii I love everything about Maroon 5.
.
Have you listen to Lost ? Now Playing: Maroon 5 - Lost (Click Here To Listen) https://t.co/kcNQSyXRrW 🔊 Ara sona | Maroon 5-Lost https://t.co/nvRzUaaeT5 @METROFMSA @CapfinSA Lost - Maroon 5 #MetroMillion"
16,Head & Heart (feat. MNEK),Joel Corry,
17,Leave Before You Love Me (with Jonas Brothers),Marshmello,"Love this song https://t.co/MIHWRhcoqR RT @portalmellogang: Unfortunately, ""Leave Before You Love Me"" by the Marshmello and Jonas Brothers lost the category it was competing in a… RT @portalmellogang: Unfortunately, ""Leave Before You Love Me"" by the Marshmello and Jonas Brothers lost the category it was competing in a… RT @portalmellogang: Unfortunately, ""Leave Before You Love Me"" by the Marshmello and Jonas Brothers lost the category it was competing in a… RT @portalmellogang: Unfortunately, ""Leave Before You Love Me"" by the Marshmello and Jonas Brothers lost the category it was competing in a… RT @portalmellogang: Unfortunately, ""Leave Before You Love Me"" by the Marshmello and Jonas Brothers lost the category it was competing in a… Unfortunately, ""Leave Before You Love Me"" by the Marshmello and Jonas Brothers lost the category it was competing in at the #KidsChoiceAwards for ""Favorite Music Collaboration"".

Congratulations to The Kid Laroi and Justin Bieber with ""Stay"". https://t.co/2606dNNIkZ #Nowplaying Leave Before You Love Me (with Jonas Brothers) - Marshmello  - Stream here-&gt; https://t.co/YiXxSepm8x - Non Stop Hits 24/7 #Rideshare #Radio #Hits #Uber #RideshareRadio #StandingWithUkraine #KKRvMI #JO1ANNX #InternationalAsexualityDay #Talk2Me RT @mellocharts: ""Leave Before You Love Me"" by the Marshmello and Jonas Brothers reached #1 on RateTheMusic's AC format this week with a Po… RT @mellocharts: 📻| ""Leave Before You Love Me"" by the Marshmello and Jonas Brothers returned to the Top 100 songs with the most audience on…"
18,The Bones - with Hozier,Maren Morris,"The bones by maren morris ft. hozier just. fucking knocked the ground under my feet i. Lord. https://t.co/ojR8FJV3Ym The Bones by Maren Morris &amp; Hozier &gt;&gt;&gt; https://t.co/RptvG7Jl3a @silverstcrm the bones - maren morris &amp; hozier
hallway weather - niki
around - niki
as it was - harry styles
😆😆 @bryanbehar ""The Bones"" by Maren Morris and Hozier. 
https://t.co/sKF80cuIzI"
19,Heartbreak Anthem (with David Guetta & Little Mix),Galantis,
20,Love Again,Dua Lipa,"Dua Lipa - Love Again https://t.co/kBthkjpAmG Dua Lipa - Love Again (Garabatto Remix) [Official Audio] https://t.co/E1ERMVcE4t via @YouTube Now Playing Dua Lipa - Love Again -escuchala en https://t.co/Om4r4u1aQu #nowplaying #DuaLipa ~ Dua Lipa | Love Again ||| BB RADIO - Voll die Vielfalt! Şu anda ' Dua Lipa - Love Again ' dinliyorum. Sende hemen dinlemek için tıkla! https://t.co/pk5UGhT88I Love Again | Dua Lipa | Future Nostalgia #nowplaying #DuaLipa ~ Dua Lipa | Love Again ||| Radio TEDDY - In #Berlin #DAB auf Kanal 7B #NowPlaying Dua Lipa - Love Again https://t.co/yBpkV0Ha8y 🔊 Auf #WDR2 läuft...

Dua Lipa:
  🎵 Love again

🕊️ #NowPlaying #DuaLipa 

https://t.co/rS6XSsh6If Have been listening to Love Again by Dua Lipa on repeat"
21,Joy,Andy Grammer,
22,Glad You Exist,Dan + Shay,
23,My Universe,Coldplay,"RT @Dagelanco: 🤯@MindblowonNFT 3x WL Giveaway🤯

Did a lot collaboration with big brands and artist: BTS/Coldplay ""My Universe"", 88rising, V… RT @justmaiko: 🤯@MindblowonNFT 2x WL Giveaway🤯

Mindblowon known as @tahilalats, collaborated with brands and artist: BTS/Coldplay ""My Univ… RT @Dagelanco: 🤯@MindblowonNFT 3x WL Giveaway🤯

Did a lot collaboration with big brands and artist: BTS/Coldplay ""My Universe"", 88rising, V… RT @justmaiko: 🤯@MindblowonNFT 2x WL Giveaway🤯

Mindblowon known as @tahilalats, collaborated with brands and artist: BTS/Coldplay ""My Univ… RT @Dagelanco: 🤯@MindblowonNFT 3x WL Giveaway🤯

Did a lot collaboration with big brands and artist: BTS/Coldplay ""My Universe"", 88rising, V… RT @Dagelanco: 🤯@MindblowonNFT 3x WL Giveaway🤯

Did a lot collaboration with big brands and artist: BTS/Coldplay ""My Universe"", 88rising, V… RT @dakotaj_updates: Chris Martin dedicated “My Universe"" to Dakota during Coldplay’s concert last night. 

“I sing this to my Universe. Mi… RT @Dagelanco: 🤯@MindblowonNFT 3x WL Giveaway🤯

Did a lot collaboration with big brands and artist: BTS/Coldplay ""My Universe"", 88rising, V… RT @Dagelanco: 🤯@MindblowonNFT 3x WL Giveaway🤯

Did a lot collaboration with big brands and artist: BTS/Coldplay ""My Universe"", 88rising, V… RT @justmaiko: 🤯@MindblowonNFT 2x WL Giveaway🤯

Mindblowon known as @tahilalats, collaborated with brands and artist: BTS/Coldplay ""My Univ…"
24,Message In A Bottle (Taylor's Version) (From The Vault),Taylor Swift,"Taylor Swift - Message In A Bottle (Taylor's Version) (From The Vault) Taylor Swift - Message In A Bottle (Taylor's Version) (From The Vault) (Lyric V https://t.co/RaOzqngUsn #nowplaying TAYLOR SWIFT - Message In A Bottle (Taylor's Version) (From The Vault) Playing Now: Taylor Swift, ""Message In A Bottle (Taylor's Version) (From The Vault)"", 03:45, #TaylorSwift #TaylorsVersion https://t.co/PNH0QKwxu3 Taylor Swift - Message in a Bottle (Taylor's version) (from The Vault)
https://t.co/EM4vVz1Lll
For consideration, submit music to info@twofactormedia.com...
#2FactorMedia #Media #Music #Entertainment Taylor Swift - Message In A Bottle (Taylor's Version) (From The Vault) (Lyric V https://t.co/RaOzqngUsn Monica just listened to ""Message In A Bottle (Taylor's Version) (From The Vault)"" by Taylor Swift on Spotify.
Listen along here: https://t.co/Cl83x2huK6 berlin, new politics
message in a bottle (taylor’s version) (from the vault), taylor swift
as it was, harry styles Message In A Bottle (Taylor's Version) (From The Vault) by Taylor Swift. https://t.co/ju6HYfAzOS Aquí va una canción para ti… Message In A Bottle (Taylor's Version) (From The Vault) de Taylor Swift
https://t.co/R6BZUE0L6N"
25,STAY (with Justin Bieber),The Kid LAROI,"#Nowplaying STAY (with Justin Bieber) - The Kid LAROI  - Stream here-&gt; https://t.co/YiXxSepm8x - Non Stop Hits 24/7 #Rideshare #Radio #Hits #Uber #RideshareRadio #StandingWithUkraine #KKRvMI #JO1ANNX #InternationalAsexualityDay #Talk2Me RT @JBCrewdotcom: Congratulations to The Kid LAROI &amp; Justin Bieber for winning the Kid’s Choice Award for Favorite Music Collaboration with… RT @JBCrewdotcom: Congratulations to The Kid LAROI &amp; Justin Bieber for winning the Kid’s Choice Award for Favorite Music Collaboration with… Songs to Sing in the Car CLEAN 🥇:

STAY (with Justin Bieber) | The Kid LAROI, Justin Bieber

#thekidlaroi #justinbeiber 

https://t.co/WUElFwCCn8 [Spotify] le top 5 Mondial du jour est : 
1. As It Was par Harry Styles
2. First Class par Jack Harlow
3. Heat Waves par Glass Animals
4. STAY (with Justin Bieber) par The Kid LAROI
5. Enemy (with JID) - from the series Arcane League of Legends par Imagine Dragons
#SPOTIFY RT @portalmellogang: Unfortunately, ""Leave Before You Love Me"" by the Marshmello and Jonas Brothers lost the category it was competing in a… Ross Lynch was listening to STAY by The Kid LAROI with Justin Bieber 21 minutes ago
https://t.co/XyHZHOdiek RT @JBCrewdotcom: Congratulations to The Kid LAROI &amp; Justin Bieber for winning the Kid’s Choice Award for Favorite Music Collaboration with… RT @JBCrewdotcom: Congratulations to The Kid LAROI &amp; Justin Bieber for winning the Kid’s Choice Award for Favorite Music Collaboration with… RT @JBCrewdotcom: Congratulations to The Kid LAROI &amp; Justin Bieber for winning the Kid’s Choice Award for Favorite Music Collaboration with…"
26,Share That Love (feat. G-Eazy),Lukas Graham,Lukas Graham - Share That Love (feat. G-Eazy) [Official Music Video] https://t.co/brUF43Z5QS via @YouTube Lukas Graham - Share That Love (feat. G-Eazy) [Official Music Video] https://t.co/p66o0QLSzY ผ่าน @YouTube
27,Sunshine,OneRepublic,"Nu op ZTACK: Sunshine van OneRepublic! 🎶
📻Tune in op https://t.co/XYjsqE6MaU! New favourite song 🎶 🎧 Sunshine - OneRepublic (1 hour loop) https://t.co/xhC1lAeWIl via @YouTube Now playing: Sunshine by OneRepublic #nowplaying Listen live: https://t.co/DswV8KZOAD https://t.co/QvhBsGo62i ti amo mi manchi stream sunshine by onerepublic ft aisha @aishamaryam___ https://t.co/AydtD4Z5kV RT @mixfm_now: Now playing: Sunshine by OneRepublic #nowplaying Listen live: https://t.co/DswV8KHFmv https://t.co/DHy8WT4fIH Nel profilo di Aisha c'è la sua versione di Sunshine. In quello degli OneRepublic no 👁️👄👁️

#Amici21 https://t.co/EfJzjSDyqz Sunshine dei onerepublic sono i bangtan OneRepublic - Sunshine (Official Lyric Video) https://t.co/nK7d7rBUsX @YouTubeより Nu op ZTACK: Sunshine van OneRepublic! 🎶
📻Tune in op https://t.co/XYjsqE6MaU! ⁣
良すぎた。びっくり.⁣
⁣
#sunshine⁣
#OneRepublic⁣
( お借りしてます🫡 )
⁣ https://t.co/bmrmnWO1B9"
28,Electric Love,BØRNS,@convomf electric love - børns BØRNS - Electric Love BØRNS - Electric Love (Official Music Video) https://t.co/Sks7Nuk5Ul via @YouTube BØRNS - Electric Love Canción del día: Electric Love - Børns 🧚‍♀️ RT @Eangel4285: BØRNS - Electric Love (Official Music Video) https://t.co/VEOaOzG6NK via @YouTube🧡 Now Playing this jam Electric Love (Oliver Remix) - BØRNS COMMERCIAL FREE ALWAYS - https://t.co/A5DLpYk3TY BØRNS - Electric Love BØRNS - Electric Love (Official Music Video) https://t.co/ugepbwGSle via @YouTube i think electric love by børns and black skinhead by ye have the same drums…
29,Fly Away,Tones And I,
30,A-O-K,Tai Verdes,"@NebNebVO Home - Phillip Phillips, Yesterday- The Beatles, A-O-K - Tai Verdes Here’s a song for you… A-O-K by Tai Verdes
https://t.co/FFiFXbqovP @HYPEBEAST A-O-K - Tai Verdes 기억ㅎㅐ,
힘들 때는 Tai Verdes, A-O-K 듣기 Noise under your hood?  The team at Salt River Automotive can diagnose the problem and fix it fast.  https://t.co/5czNVQaC4U or call 636-900-7258 Coming up on Westplex 107.1 is A O K by Tai Verdes  That's Next! Now playing: A-O-K (Los Padres &amp; Jay Mac Radio Edit) by Tai Verdes #listen at https://t.co/ojQrJuJjJ8 https://t.co/GdYJmQ69rl #NowPlaying Tai Verdes - A-O-K The Westplex region of St. Charles County has a radio station that's dedicated to the citizens and businesses.  More info at https://t.co/PV6nxrC451 Coming up on Westplex 107.1 is A O K by Tai Verdes  That's Next! The Music Never Stops - Now Playing - A-O-K - Tai Verdes LISTEN LIVE NOW: https://t.co/A5DLpYk3TY https://t.co/bclpcxOWtX Now Playing on iWoody Radio:

Tai Verdes - A-O-K

https://t.co/xQCwDKsHk1"
31,Chasing Stars (feat. James Bay),Alesso,"#nowplaying ALESSO &amp; MARSHMELLO - Chasing Stars (FEAT. JAMES BAY) Playing Now Chasing Stars (feat. James Bay) by @Alesso https://t.co/n7kBJEeNJb En ce moment sur Radio Fréquence Zic : Chasing Stars de Alesso &amp; Marshmello feat. James Bay  / A écouter sur https://t.co/9Qs7asPTTu  #NowPlaying https://t.co/oZUiRXJOPC @SAFFAOnAirRadio is now playing, Alesso,Marshmello,James Bay - Chasing Stars (feat. James Bay). Streaming live via the @TheSaffaApp #LekkerMusiek #SaffasMusic #SAFFASokkie"
32,seaside_demo,SEB,"Now Playing: SEB - Seaside Demo (Click Here To Listen) https://t.co/kcNQSyXRrW 2:57am seaside_demo by SEB from It's OK, We're Dreaming (EP) https://t.co/CSqRR6T9Az Now Playing: SEB - Seaside Demo (Click Here To Listen) https://t.co/kcNQSyXRrW 2:24pm seaside_demo by SEB from It's OK, We're Dreaming (EP) https://t.co/bRFc3x5QCb Check out ""seaside_demo"" by Seb on Amazon Music. https://t.co/6055BBbf3I @razevadestaxes MF DOOM - Rapp snitch knishes

Tears for Fears - everybody wants to rule the world (not weezer ong id kill you that is a crime)

BOOGIE - Brockhampton 

seaside_demo - SEB

Glass animals dreamland album

Idk there’s some variety in that 10:01am seaside_demo by SEB from It's OK, We're Dreaming (EP) https://t.co/Fzi3RYAira Now Playing: SEB - Seaside Demo (Click Here To Listen) https://t.co/kcNQSzfsju @mercstan seaside_demo by SEB :) love you ♥️ Now Playing: SEB - Seaside Demo (Click Here To Listen) https://t.co/kcNQSyXRrW"
